Timestamp,Description,Interst/Alarm,Confusion/Understanding,Frusteration/Relief,Sorrow/Joy,Anger/Gratitude,Fear/Hope,Boredom/Surprise,Disgust/Desire
1620330911.8891037,Cosmo raised his head to look at me and then raised his arms and moved toward me. The then lowered both his head and his arms. It was almost like he was trying to give me something.,3,4,3,3,4,3,3,3
1620330996.1768625,Cosmo let out what sounded almost like a sigh. He then put his arms up and looked down at the ground. It felt like he was maybe saying sorry or was just kind of giving up.,3,3,2,1,3,3,3,3
1620331081.1508348,"Cosmo raised his arms up and moved slightly to his left. The sounds he was making made it seem like he was saying ""here"" and trying to give me something.",3,4,3,3,3,4,3,4
1620331175.9734638,"Cosmo put his arms down and moved in a semicircle and seemed to say ""huh"" as if he was looking for something. He then continued his circle as if searching.",3,1,2,3,3,3,3,3
1620932509.1249688,NA,2,2,3,2,3,3,2,3
1620932710.6159298,Moved right and dropped lift. Made sad/bored noise.,3,2,3,1,3,3,2,3
1620932710.6159298,Moved right and dropped lift. Made sad/bored noise.,3,2,3,1,3,3,2,3
1620932829.139799,Slight moved lift. Eyes made intrigued expression. No noise.,2,2,3,3,3,3,2,3
1620932951.6049461,"Squinted eyes while looking upwards. Made a ""oh"" sound, like it was understanding something.",1,2,4,4,4,3,3,3
1620933067.640779,Eyes alternated growing larger and moving upward. No other movement.,1,2,3,3,3,3,3,3
1620933187.2239127,Eyes alternate growing larger and moving upward. No other movement.,2,2,3,3,3,3,3,3
1620933790.7912734,"Moved forward, and looked up. Then made a ""oh"" sound, and looked down.",2,2,3,2,3,3,2,2
1620933790.7912734,"Moved forward, and looked up. Then made a ""oh"" sound, and looked down.",2,2,3,2,3,3,2,2
1620933985.5401208,"Said ""eoh"" and then ""aw', while moving forward and sight raising lift.",2,4,4,4,3,4,4,4
1620934120.2088678,"Looks up and moves forward. Then makes slightly sad sound, before looking down.",3,2,2,1,2,3,2,2
1620934221.225111,Raises life while make face that looks like it is struggling.,4,3,3,3,3,3,3,3
1620934364.0372007,Raises lift up and down quickly.,4,2,1,2,1,3,4,2
1621366843.7976303,"he turns away from me and says something like ""oh yeah"" or ""come here""",3,3,2,3,3,3,2,3
1621366945.5782313,"he drives towards me and lifts his ""arms"" as if he wants to give me something. he makes a sound that sounds like ""here you...""",3,3,3,4,3,3,3,3
1621367072.9354773,"he turns left 90 degrees and says ""where"" or ""here"" then turns another 90 deg. in the same direction and says ""hmm?"" as if he is looking for something.",2,1,3,3,3,3,4,3
1621367195.24386,he looks up and his eyes wander as if he looks for something in the sky,1,2,3,3,3,3,3,3
1621367648.2458076,made big eyes and moved head up,4,2,3,3,3,2,3,3
1632149905.7816653,The robot moved a short distance from where it was and the raised its arm a little.,2,3,3,3,3,3,3,3
1632157551.1262424,Eye movement like curious ,3,5,2,3,3,3,2,2
1632160016.312735,He moved forward and moved his arms up and down.,2,3,2,3,3,4,3,4
1632165306.4015794,"The robot moved off the charger, made a sound, and moved somewhat near the edge of the table.",4,3,3,3,3,3,3,3
1632173681.270363,Came forward and raised its arms up then back down.,1,1,3,2,3,3,2,3
1632242471.8809865,It went forward and made a sad sound.,3,2,3,2,3,3,2,3
1632251439.4356546,The robot lifted its arms and looked around. It seems like it was curious or confused or afraid. It may have been trying to hide its face.,4,2,3,3,3,2,4,2
1632328450.1190789,"Shifting eyes, generally curious expression, rolled out of charger to look at the participant.",1,2,3,4,3,3,5,3
1632331562.7259362,"It moved off its pad, raised up its arm, and moved to my right  but found nothing.",1,1,3,3,3,3,5,3
1632332804.2331758,"It appeared as if the robot was taunting me, raising it's appendage and making a sound similar to that of ""Kachow""",3,4,3,3,3,3,4,3
1632336869.8345375,It moved slowly and then hanged its head,3,4,2,1,3,3,1,3
1633111512.535274,"Cosmo lifted his handle jaggedly, moved his head down, gave a look of confusion/frustration and lowered his handle.",3,1,2,3,3,3,2,3
1633111764.6093118,"Cosmo tilted his head down slightly, however replaying the robot behavior has no movement, only a mechanical sound",4,4,2,2,2,2,2,2
1633111934.3462574,Cosmo curiously said hello and lifted his handle.,1,3,4,4,4,5,5,4
1633111934.3462574,Cosmo curiously said hello and lifted his handle.,1,3,4,4,4,5,5,4
1633112060.5559237,"Cosmo lifted his handle and squinted his eyes, sort of like a shrug.",3,2,2,3,2,3,2,3
1633112167.4213157,Cosmo lifted his head to look at something,1,2,3,3,3,4,4,4
1633112259.4704072,Cosmo lifted his handle and drove forward with his head up,2,5,4,3,4,4,3,5
1633112382.215731,Cosmo drove forward and lowered his handle to the ground,3,2,2,2,3,3,2,4
1633112480.6485796,Turned a smidge,4,2,3,3,3,3,4,3
1633112570.3714707,"The first time it played the behavior it was different. It lifted his handle all the way up, while now it moves it just a little. Cosmo made a sound as if he was asking a question, or confirming something with you.",4,2,3,3,3,3,5,2
1633112737.805321,Lifted head and handle a little bit.,2,4,2,3,3,3,3,3
1633112808.0759268,"Cosmo lowered his handle to the table. Replaying the behavior has him do nothing, probably because his position isn't reset.",2,4,2,2,3,4,2,3
1633112933.9976113,"Turned a bit, made a sound like asking a question, and lifted his handle to the top.",5,2,3,3,3,2,5,3
1633113048.544654,"Cosmo's jaw dropped (rather, his handle) and he went bug-eyed and made a sound like, ""what.""",4,2,3,3,3,3,5,2
1633113160.3533618,"Lifts his handle, looks up, then turns 180 degrees",3,2,1,3,2,3,2,2
1633113255.7768486,"lifts handle to top, lowers head, turns 90 degrees",2,2,4,3,3,3,4,3
1633113360.1150336,"lowers handle, moves forward and makes a question-like sound, then he figures it out with another sound when moving forward and looking up.",1,5,5,4,4,3,4,3
1633113482.4433959,tilts head down,3,4,4,2,3,4,3,4
1633113551.5419364,turns 180 degrees and moves head to neutral,2,3,3,4,3,3,3,3
1633118363.4047163,"It moved it's head down slightly in 2 increments, and made a small descending noise. It seemed to fill the role of a conversational filler demonstrating understanding.",2,4,4,3,4,3,2,3
1633118581.4060125,"It rotated it'self in a clockwise direction, raised it's arm and made a high pitched phoneme ""a"" then lowered it's arm and made a lower pitched phoneme ""e"". Maybe just slightly board?",3,3,3,3,3,3,2,3
1633118729.882715,"It looked down with it's arm raised and started moving, stopped moving then lowered it's arm while simultaneously raising it's head.",3,3,3,2,3,3,2,3
1633118854.3597655,it moved forward slightly then slowly raised it's head.,2,4,3,3,3,5,3,5
1633118947.686633,"It moved forward made an ""ah"" sound, then stopped and lowered it's head. Seemed disappointed. ",3,4,2,2,3,3,2,3
1633119050.2864125,It turned in a wide radius in the clockwise direction and then raised it's arm.,2,3,3,3,3,4,3,4
1633119150.6286294,"IT moved forward raised it's head, made an ah sound, turned and then lowered i's head",2,3,2,2,3,4,3,4
1633119244.3788834,It raised it's arm a tiny bit. Not much emotion associated ,3,3,3,3,3,3,2,3
1633119334.2058632,"It turned around from me, and ran into the edge of it's charging dock before lowering it's arm and making a noise lowering in pitch.",4,1,3,3,3,3,4,3
1633119469.5797303,It performed no visible or auditory action.,3,3,3,3,3,3,3,3
1633119616.5268602,"Moved in a counter clockwise direction paused said ""hoi"" continued moving, stopped, then said ""hoi"" again.

",1,3,3,4,3,4,3,3
1633119771.7305896,"Did a little zig zag and said ""hmm?"" between the zig and zag",1,2,3,3,3,3,4,3
1633119859.6195972,"Made a ""Ahhm"" noise and raised it's arm.",3,3,4,3,3,3,1,3
1633119934.0756958,"Moved forward, raised it's arm, then lowered it's arm and lowered it's head.",3,3,3,1,3,3,2,2
1633120004.7798848,"Made a aahm sound and moved in a counter clockwise direction,",3,3,3,3,3,3,1,3
1633120071.203803,"Moved forward and raised it's head slowly. Then moved forward more quickly raised it's head more quickly and made a ""ahh noise.",1,3,3,3,3,3,3,5
1633120147.7640712,It lowered it's head,3,4,3,1,3,3,2,3
1633120201.0281162,"It moved forward raised it's head and then moved forward made an ""Ah"" Noise then lowered it's head and arm ",2,3,3,2,3,4,3,4
1633373656.0610828,interest,1,2,3,3,3,3,4,3
1633373733.4669967,interest,1,1,3,3,3,3,4,3
1633373800.8607829,arm movement,3,2,3,3,3,3,3,3
1633373900.815646,"head and arm movement, before moving in a half circle, and putting had and arm back down",2,2,3,5,3,4,4,3
1633373972.8819318,tilted head down and made a v_v face,4,3,3,1,3,2,3,3
1633374034.1712818,moved forward and said 'oh',5,2,3,3,3,3,4,3
1633374109.9578059,moved forward and said 'e' before tilting head up,2,3,3,5,3,3,4,3
1633374205.6417065,put arms up and head down in defeat ,3,5,4,1,3,2,3,3
1633374272.609164,"moved forward, stopped, said 'a?', turned and moved forward while saying 'e'",2,1,3,3,3,4,4,4
1633374369.1884336,"tilted head all the way up, moved arms up before moving forward and turning",1,2,3,3,3,4,5,3
1633374459.553243,"moved arms up, looked around slightly before putting them back down",2,1,3,1,3,3,4,3
1633374560.2554905,put arms up and waved slightly,2,3,3,4,4,4,3,3
1633374640.1375566,put arms up slightly,2,2,3,3,3,3,3,3
1633374708.2025669,"put arms down, turned and moved while saying 'i', stopped, turned more while going forward, putting hands up, and saying 'peru'",1,3,3,3,3,3,3,3
1633374839.6849196,put arms down and turned head up while making an angry face,3,3,2,3,1,3,3,1
1633374899.1746056,put arm down,2,1,3,3,3,3,4,3
1633374970.3439183,put arm up,4,2,3,3,3,2,4,3
1633375035.1874535,tilted head up and moved forward,1,2,3,3,3,3,4,3
1633375110.1864474,"moved forward and put hands down, stopped, turned and moved forward while saying 'a?' and putting arms up",2,1,3,3,3,3,4,3
1633375203.7806106,"moved forward and put head up, stopped, moved forward while putting arms up and looking down",2,3,3,2,4,4,3,3
1633375348.8395162,"looked up and moved arms up, said 'a?', moved while putting arms down and saying 'e'",2,1,4,4,3,3,3,3
1633375439.05708,"put head down, turned away, and put arms up",3,3,2,1,3,3,4,3
1633448164.3409834,Head moved down as the eyes flicked back and forth,4,2,3,3,3,2,2,3
1633448239.1974573,"Turned almost 270 degrees, raised its claw up and it seemed to say hi",3,4,3,5,5,4,3,3
1633448357.7438807,"Turned counter clockwise abut 270 degrees, and raised its head, no real change in the eyes",3,2,3,3,3,3,3,3
1633448442.6108577,"Turned clockwise and seemed to make a confused sound, then moved fast away in the opposite direction",4,1,3,3,3,1,4,1
1633448518.0207438,"Raised its head and claw slightly, the eyes flicking back and forward",3,2,3,3,3,2,3,3
1633448654.8335752,claw moved slightly up then back down,3,2,3,3,3,3,3,3
1633448723.892202,Moved its head up quickly as if to look me in the eyes,2,1,3,3,3,4,3,3
1633448790.7664542,Turned and moved about 180 degrees and moved its head down to level with the table,2,3,3,3,3,3,3,3
1633448868.2653115,Turned about 270 degrees clockwise away from me,4,2,3,3,2,3,3,2
1633448938.9726338,"Raised its head up, made a confused noise ""huh?"" moved forward with claw up, then made a sound like ""hey"" then moved forward quickly",2,1,4,4,3,3,5,3
1633449055.156595,Turned clockwise and raised its head up high to look towards the ceiling,1,1,3,3,3,3,3,3
1633449130.397215,"Eyes got narrow and low as it made a sound like ""aww"" then turned away and lowered its claw",3,3,2,1,3,3,3,3
1633449218.0402079,"Turned about 200 degrees clockwise, lowered its claw and raised its head as it made a sound like ""up?""",2,3,3,4,4,3,4,4
1633449308.6720905,"Moved forward very quickly, as the claw raised slightly then lowered",4,3,2,3,3,3,3,3
1633449409.7919943,Raised its head and claw slightly as the eyes looked around,2,2,3,3,3,3,3,3
1633449530.3973422,"Looked up and made a sound like ""up?"" Then the eyes got reallly round and it made a sound like ""oop""",2,1,3,3,3,3,5,3
1633449671.7211785,"Turned to its left and raised then lowered its head as it made a long sound like ""awwwwwwwww""",2,3,3,1,3,3,4,3
1633449771.235933,"Turned left, raised its head and claw, then turned right and lowered its head and claw as it made a sound like either ""oil"" or a distorted sad ""hi""",2,2,3,2,3,3,3,3
1633460452.9301684,stuff,3,3,3,3,3,3,3,3
1633534838.5097277,it moved its arm up.,2,3,3,3,3,3,2,3
1633535052.6573963,"It moved forward, made a noise, and moved its arm down.",1,2,3,3,3,3,4,3
1633535117.7867453,"It made a little ""hm?"" sound and lifted its arm up.",4,2,3,3,3,2,4,3
1633535186.805712,"It moved its arm down, lifted its head, made a couple noises, and moved forward twice.",3,3,1,3,3,3,2,2
1633535279.2588155,"It moved its arm up and then down, tilted its head down, and made a little noise.",2,2,3,3,3,3,4,3
1633535339.7866838,"It moved its arm up, turned and moved forward to the right, and then put its arm back down.",3,4,3,3,3,3,2,3
1633535412.2549217,"It moved its arm down, moved its head up and said ""ahh""",2,4,4,4,4,4,3,3
1633535475.152918,It moved its arm and head into neutral and made a little noise.,3,2,3,3,3,3,2,3
1633535539.7918017,It moved its arm down and looked up.,2,3,3,4,3,4,3,3
1633535597.348477,It moved its head back into neutral. ,3,4,3,3,3,3,2,3
1633535654.46334,It moved its arm up and moved forward.,4,3,3,3,2,3,3,3
1633535711.338495,It turned to the right and moved its head and arm up before moving its head and arm down.,2,3,3,2,3,4,3,4
1633535781.3749266,"It moved forward and said ""ahh"" and then moved its head up and said ""eugh""",2,2,2,3,3,3,3,1
1633535855.8144994,It moved to the left and then put its head and arm down.,2,2,3,2,3,4,3,3
1633535916.1796107,It tilted its head slightly up.,2,3,3,3,3,4,2,3
1633535983.827182,"It moved forward, put its head and arms up and said ""hm?"" then it turned to the left and put its head and arms down.",4,2,2,2,2,3,4,2
1633536066.6726687,"It moved a little to the left, squinted its eyes, and sounded upset.",2,2,2,3,2,3,3,2
1633536159.3909369,It did nothing but move its eyes around,3,3,3,3,3,3,1,3
1633536221.168519,"It turned to the right, said something, moved forward, lifted its arms, squinted, and said something else.",1,2,3,3,3,3,4,1
1633536292.3020968,"It moved its head and arms up, turned to the left, and then put them down again.",4,4,4,3,3,3,4,3
1633536366.0458794,It squinted its eyes and turned to the left.,3,3,1,2,1,3,3,3
1633536426.2694542,"It moved its head up, then its arm, and made a little noise",2,3,3,4,4,4,3,4
1633536501.0639174,"It moved its head and arms down, made a little noise and squinted.",3,4,3,2,3,3,3,4
1633536567.6660182,"It turned to the right, made a ""wee"" noise and moved its arm up a little",2,3,3,4,3,3,3,4
1633538950.4304526,"It moved towards me and moved its lever and made a sound that sounded like ""Hi.""",2,3,3,4,3,3,3,3
1633539242.4000177,The robot moved its lever and head down and moved forward with a sound that sounded like a sigh. It then lifted its lever up,3,3,3,1,3,3,3,4
1633539394.425091,It moved forward a little and moved its lever down.,3,2,3,3,3,3,3,3
1633539508.5466495,The robot lifted its lever and head up,2,3,3,4,3,4,3,5
1633539625.2326565,"The robot moved its lever down moved forward towards me and said ""Hello"" before turning away with its head down",2,3,3,2,3,3,3,3
1633539830.1146307,The robot lifted its lever and head all the way up and turned to the right before putting its head and lever down,3,3,4,5,5,4,3,5
1633539942.4528594,"The robot lifted its lever and head up a little and stopped. It then put its head down a little, but continued lifting its lever.",3,3,3,3,3,2,3,4
1633540083.8710995,"The robot put its lever down and lifted its head up and made an ""uh"" sound.",3,3,3,3,3,4,3,4
1633540238.2662792,"The robot moved forward and put its head down. Its eyes got wide for a second before it turned around and moved with an ""Aw"" sound.",3,3,3,1,3,3,5,3
1633540383.5031803,The robot moved its head down and turned to the left and lifted its head a little,3,3,3,1,3,4,3,3
1633540513.5568132,The robot lifted its lever.,3,2,3,3,3,4,3,3
1633540633.5902047,The robot moved forward and lifted its head and lever up. It then put its lever all the way down,3,3,3,3,2,3,3,3
1633540740.9466364,"The robot moved its head down and lifted its lever and said ""I'm sorry."" It then put its lever down.",3,4,3,1,3,3,3,3
1633540915.9533987,"The robot put its head down, said ""Awww,"" and turned left. It lifted its head a little at the end",3,3,3,1,3,4,3,3
1633541080.0805688,"The robot lifted it's lever all the up and moved forward towards the left saying ""oh.""",3,3,3,3,3,3,2,2
1633621075.1294928,the robot drove forward and to the right,3,3,3,3,3,3,3,3
1633621158.002191,it spun 180 degrees and lowered its 'head',3,3,3,3,3,3,3,3
1633621228.6333754,the robot drove around a bit and made a noise like 'hiyo',2,2,3,3,3,3,3,3
1633621312.3239505,"drove forward a bit, nothing else",3,3,3,3,3,3,3,3
1633621385.6590242,the robot said 'oooh' and drove forward a bit,2,2,3,3,3,3,4,3
1633621451.1654556,it raised its 'arm' and drove forward while looking upwards,1,1,3,3,3,3,4,4
1633621529.2526162,the robot did nothing besides move forwards about 1/8 inch,3,3,3,3,3,3,3,3
1633621589.0932992,the robot raised and lowered its arms,1,3,3,5,4,4,3,4
1633621644.400045,"the robot inched forward, raised its arms a little and made a noise",4,2,3,4,4,4,4,3
1633621712.886563,"the robot raised its arms, made an angry face, and moved forward before making a noise and lowering its arms",5,3,2,3,1,2,3,2
1633621846.3602493,it made a really short noise,3,3,3,3,3,3,3,3
1633621909.827143,"the robot spun a little bit, and raised its arms while making a happy noise",2,4,5,5,5,5,3,3
1633621981.811772,the robot made two short noises and spun a little,2,2,4,4,4,4,4,3
1633622065.3410685,the robot lowered its head,3,3,2,3,2,3,3,3
1633622120.3393404,the robot raised its arms,3,2,3,3,3,3,3,3
1633622183.1000335,"it moved forward, raising its arms, before lowering them and its head",3,3,2,2,2,2,4,2
1633622272.2688615,"it moved forward, making an angry face and saying something like you, smile, then raised its arms and made a happy face",3,5,2,4,2,4,4,4
1633622397.7902417,it moved forward and lowered its arms,3,3,3,3,3,3,3,3
1633622459.918904,"the robot made three noises, and moved forward slightly",2,4,4,3,3,3,4,4
1633625815.0226452,"moved forward then paused, raised its lift and moved forward a little again",1,2,3,3,3,3,3,3
1633626056.2797863,"moved forward slightly, vocalized (sounded like ""hi"")",2,3,3,3,3,4,3,4
1633626155.2102945,"raised its lift, eyes became large circles, then it moved quickly forward, stopped and lowered the lift",5,3,3,3,2,2,5,3
1633626321.6679196,"It vocalized while rotating to the right and looking down at the ground. then it paused, rotated to the right a little again (completing a 90 degree rotation), and looked back up.",1,3,2,3,2,3,4,2
1633626591.2709465,vocalized while moving forward and quickly raising its lift (or lowering it on repeated plays if it was already raised),2,4,2,2,3,5,3,4
1633626787.465197,slowly looked down and moved forward (curved slightly to its left),3,5,3,1,3,3,3,3
1633626917.4264615,quickly moved slightly forward with a small left rotation,1,4,3,3,3,3,3,4
1633627010.1736605,"raised its head, paused for a brief moment, then vocalized, and moved forward a good distance while raising its lift (or lowering it on repeat plays if already raised)",1,4,3,5,3,5,3,5
1633627236.6062603,tilted its head up,2,3,3,3,3,3,2,3
1633627313.4412441,"looked down, eyes narrowed into slits, raised its lift and vocalized a short grunt",4,3,3,3,1,2,3,2
1633627476.3528647,slightly raised its lift (or lowered on subsequent replays),3,3,2,3,3,3,1,3
1633627590.4982462,rotated 90 degrees to the right then quickly moved forward a short distance,1,4,3,3,3,3,3,5
1633627753.4533255,tilted head slightly up while raising lift (lowering lift on subsequent replays),3,3,4,3,3,4,3,4
1633627858.4132001,"lowered lift to the ground, looked down, paused, and vocalized, then raised lift and head back to about middle position",3,4,3,1,3,3,3,3
1633712039.7094944,turned around and lowered lift,3,3,3,2,3,2,3,2
1633712244.4257073,looked up and raised lift,1,3,3,4,3,4,3,4
1633712358.2100809,lowered lift and head with squinted eyes and moved forward a little bit and made a noise,3,2,2,1,3,2,3,2
1633712479.2842674,moved forward and stopped and made a noise then moved lift up while moving forward again and stopped then turned left and lowered lift,1,3,3,4,3,4,5,4
1633712651.2311378,moved forward an inch and raised head,1,2,3,3,3,4,3,3
1633712752.904643,lowered head,3,3,3,3,3,3,1,3
1633712814.3561075,nothing happened,3,3,3,3,3,3,3,3
1633712860.8733363,moved forward and to the right a little bit and raised head,1,4,3,3,3,4,3,4
1633712933.8196175,moved forward and lowered head,4,3,2,2,2,3,3,2
1633713006.0208607,raised head,1,3,4,4,4,4,4,4
1633713069.8969479,lowered head,3,3,2,1,2,2,1,2
1633713135.2548,moved forward and made an interested noise then stopped then raised head and lift then moved forward again and made a disgusted noise while lowering head and lift,1,3,4,3,3,4,3,1
1633713346.4343357,slowly raised head a little then moved forward and stopped while lowering head,2,2,4,1,3,3,1,3
1633713434.4437833,lowered head and raised lift high while moving forward then stopped and lowered lift,3,3,3,3,5,4,3,4
1633713537.2855341,turned around and raised head and lift,2,3,3,4,3,4,3,4
1633713620.9187436,raised head then moved forward and made a noise then stopped and lowered head and moved forward again,2,4,5,3,3,3,4,3
1633713750.825049,turned around and made a noise then raised lift,3,3,1,3,1,3,3,3
1633713835.9942634,lowered lift,3,3,3,2,3,3,1,3
1633713925.5345476,raised lift and head and made a noise,2,4,4,4,3,4,4,3
1633714013.8459907,turned around and raised lift high while making a noise,1,3,3,3,3,4,4,3
1633714110.3616202,moved forward a bit and raised head while making an interested noise then made a 'hmm' noise and lowered head and moved forward to the right while making a disgusted noise,1,3,3,3,1,3,3,1
1633978863.2484925,moved forward,2,3,3,3,3,3,3,3
1633978931.4831736,looked down and moved on fifth of a circle,3,3,3,3,3,3,3,3
1633979014.3708498,moved head and arm up like his offering something,1,4,4,3,3,4,3,4
1633979097.2928472,moved forward and left a bit,3,3,3,3,3,3,3,3
1633979161.8117814,moved his arms slightly higher,3,3,3,3,3,3,3,3
1633979220.902538,lowers his arm,3,3,3,3,3,3,3,3
1633979285.4584923,turned right and looked up,2,4,3,3,3,3,3,3
1633979339.6545765,lowered his head and moved to left,3,4,2,3,3,3,3,3
1633979410.6384418,moved his arm up and moved forward,2,4,3,3,3,3,3,3
1633979500.1594584,turned left,3,3,3,3,3,3,3,3
1633979547.1839116,angry eyes and arm movement,2,4,3,3,1,3,3,3
1633979622.011133,moved forward and moved up his arm and then showed angry eyes,1,2,3,3,1,3,3,2
1633979694.3535483,long left turn followed by moving his arm upward and lowering his head,3,3,3,3,3,3,3,3
1633979785.7807183,moved his arm up to the middle and moved forward,1,3,3,3,3,4,3,4
1633979869.0755694,moved arm up high and turned right,2,5,3,3,3,3,3,3
1633979933.9726877,arm and head movement in opposite directions,3,3,3,3,3,3,3,3
1633980009.1492436,moved forward and look down a bit,2,4,3,3,3,2,3,3
1633980096.4428174,turned left and moved his head up and then turned right and moved his head down,2,3,3,3,3,3,3,3
1633980209.543078,didn't do anything,3,3,3,3,3,3,3,3
1633980399.32211,moved forward and made a hmm sound ,2,3,4,3,3,3,2,3
1633980479.9966981,he said aww and moved forward,2,4,3,3,3,3,3,5
1633980539.1371036,said oh and moved to right,4,4,3,3,3,2,4,3
1634053638.9391959,Lifted loader,3,3,3,3,3,3,3,3
1634053893.3337564,Turned forward-right and looked upwards and said something like 'mmm',1,4,3,4,3,4,3,4
1634054052.133477,Slightly lifted loader and looked to the ground. No sound.,3,3,3,1,3,3,3,3
1634054142.5028722,"Look up a bit, move forward, stop and look down a bit",3,4,2,2,3,3,3,3
1634054264.3727396,Hesitant lift of loader,3,2,3,2,3,3,3,3
1634054380.1143868,Turn left and look up,2,3,3,3,3,3,3,3
1634054504.0914972,Nothing; just the slight sound of the robot motor starting,3,3,3,3,3,3,3,3
1634054636.8902268,"'uh', lifted loader partially, 'ah', moved forward-right 
 and lifted loader fully",2,5,4,4,3,3,4,3
1634054795.1773777,"loader half-lift, inquisitive 'uh' . Eyes thinned",2,3,3,4,4,3,3,4
1634054989.7874625,"move forward, slightly lift head and make a 'euwah' sound and slightly lift loader",3,3,4,3,4,3,3,3
1634055163.4283767,"Lower loader, look down, and make a decreasing 'eah' sound",3,4,3,1,3,3,3,3
1634055281.722583,Move forward significantly and make a long eah sound,2,3,3,2,4,3,3,4
1634663759.1114397,"moves head and lets out small noise that sounds like ""what""",2,2,3,3,3,3,3,3
1634663853.3998866,"looks down, picks up arm, makes small noise like ""whoa"", moves forward, puts arm down while looking back up ",1,2,3,3,3,3,3,3
1634663964.0006375,"moves to the left while picking up arm above head, looking down while making a noise like ""huh?""",1,1,3,3,3,3,3,3
1634664077.1377447,just blinks and looks around,2,3,3,3,3,3,3,3
1634664152.9063504,"looks up, says ""oh"", starts moving forward to the left while moving arm above head, makes another noise with question-like intonation

then looks down while moving arm back down",1,2,3,3,3,3,4,3
1634664331.5971975,"moves head and arm up simultaneously while moving forward, stopping arm in front of face, as if offering something up, making a declarative noise like ""here"" or ""hi""",2,4,3,3,3,4,3,4
1634664469.2704394,"moves head and arm up simultaneously making a declarative noise like ""there"", then moves forward while bringing arm and head down, making another noise with inquisitive intonation, kind of like ""huh?""

",2,2,3,3,3,4,4,3
1634664668.6969976,eyes narrow and head moves slightly,4,2,3,3,2,2,4,2
